candidate,compaction,query_engine,round,phase,status,duration_s,rows,error
iceberg-v3-mor,every_round,writer-spark,0,load,ok,5.241200667995145,100000,
iceberg-v3-mor,every_round,writer-spark,1,load,ok,4.11828291900747,180000,
iceberg-v3-mor,every_round,writer-spark,1,compact,ok,1.6934095430042362,0,
iceberg-v3-mor,every_round,writer-spark,1,maintain,ok,2.7410038340021856,0,
iceberg-v3-mor,every_round,writer-spark,2,load,ok,2.2403353760018945,260000,
iceberg-v3-mor,every_round,writer-spark,2,compact,ok,1.6791147089970764,0,
iceberg-v3-mor,every_round,writer-spark,2,maintain,ok,1.1935627509956248,0,
iceberg-v3-mor,every_round,writer-spark,3,load,ok,1.8493232930049999,340000,
iceberg-v3-mor,every_round,writer-spark,3,compact,ok,1.9696101259905845,0,
iceberg-v3-mor,every_round,writer-spark,3,maintain,ok,0.9695510830060812,0,
iceberg-v3-mor,every_round,writer-spark,4,load,ok,1.967820292993565,420000,
iceberg-v3-mor,every_round,writer-spark,4,compact,ok,2.127987416999531,0,
iceberg-v3-mor,every_round,writer-spark,4,maintain,ok,0.8547679170005722,0,
iceberg-v3-mor,every_round,writer-spark,5,load,ok,1.8027348750038072,500000,
iceberg-v3-mor,every_round,writer-spark,5,compact,ok,2.501871458996902,0,
iceberg-v3-mor,every_round,writer-spark,5,maintain,ok,0.8448367509990931,0,
iceberg-v3-mor,every_round,writer-spark,6,load,ok,1.8617252099938923,580000,
iceberg-v3-mor,every_round,writer-spark,6,compact,ok,2.8087111259956146,0,
iceberg-v3-mor,every_round,writer-spark,6,maintain,ok,0.7613403750001453,0,
iceberg-v3-mor,every_round,writer-spark,7,load,ok,1.7433923759963363,660000,
iceberg-v3-mor,every_round,writer-spark,7,compact,ok,2.933621251999284,0,
iceberg-v3-mor,every_round,writer-spark,7,maintain,ok,0.8027272920007817,0,
iceberg-v3-mor,every_round,writer-spark,8,load,ok,1.7106395839946344,740000,
iceberg-v3-mor,every_round,writer-spark,8,compact,ok,3.360172001994215,0,
iceberg-v3-mor,every_round,writer-spark,8,maintain,ok,0.6716625840053894,0,
iceberg-v3-mor,every_round,writer-spark,9,load,ok,1.7903605430037715,820000,
iceberg-v3-mor,every_round,writer-spark,9,compact,ok,3.534689418011112,0,
iceberg-v3-mor,every_round,writer-spark,9,maintain,ok,0.7429333759937435,0,
iceberg-v3-mor,every_round,writer-spark,10,load,ok,1.7938076680002268,900000,
iceberg-v3-mor,every_round,writer-spark,10,compact,ok,3.7947879179992015,0,
iceberg-v3-mor,every_round,writer-spark,10,maintain,ok,0.6457681669999147,0,
iceberg-v3-mor,every_round,writer-spark,11,load,ok,1.7606416259950493,980000,
iceberg-v3-mor,every_round,writer-spark,11,compact,ok,4.095422459999099,0,
iceberg-v3-mor,every_round,writer-spark,11,maintain,ok,0.7284720839961665,0,
